result_grades_id;result_grades_school_id;result_grades_school_year_id;result_grades_semester;result_grades_group_id;result_grades_student_id;result_grades_value_type;result_grades_source_id;result_grades_source_title;result_grades_teacher_id;result_grades_subject_id;result_grades_original_value;result_grades_adjust_value;result_grades_created_at;result_grades_updated_at
2515825;1;3;1;3;56;1;25;Latihan 1 bind;19;1;42;42;2025-09-01 21:03:09;2025-09-01 21:03:09
2515826;1;3;1;3;57;1;25;Latihan 1 bind;19;1;40;40;2025-09-01 21:03:09;2025-09-01 21:03:09
2515827;1;3;1;3;58;1;25;Latihan 1 bind;19;1;60;60;2025-09-01 21:03:09;2025-09-01 21:03:09
2515828;1;3;1;3;59;1;25;Latihan 1 bind;19;1;86;86;2025-09-01 21:03:09;2025-09-01 21:03:09
2515829;1;3;1;3;60;1;25;Latihan 1 bind;19;1;77;77;2025-09-01 21:03:09;2025-09-01 21:03:09
2515830;1;3;1;3;41;1;26;Latihan 2 bind;19;1;87;87;2025-09-01 21:03:09;2025-09-01 21:03:09
2515831;1;3;1;3;42;1;26;Latihan 2 bind;19;1;45;45;2025-09-01 21:03:09;2025-09-01 21:03:09
2515832;1;3;1;3;43;1;26;Latihan 2 bind;19;1;60;60;2025-09-01 21:03:09;2025-09-01 21:03:09
2515833;1;3;1;3;44;1;26;Latihan 2 bind;19;1;48;48;2025-09-01 21:03:09;2025-09-01 21:03:09
2515834;1;3;1;3;45;1;26;Latihan 2 bind;19;1;42;42;2025-09-01 21:03:09;2025-09-01 21:03:09
2515835;1;3;1;3;46;1;26;Latihan 2 bind;19;1;49;49;2025-09-01 21:03:09;2025-09-01 21:03:09
2515836;1;3;1;3;47;1;26;Latihan 2 bind;19;1;68;68;2025-09-01 21:03:09;2025-09-01 21:03:09
2515837;1;3;1;3;48;1;26;Latihan 2 bind;19;1;70;70;2025-09-01 21:03:09;2025-09-01 21:03:09
2515838;1;3;1;3;49;1;26;Latihan 2 bind;19;1;62;62;2025-09-01 21:03:09;2025-09-01 21:03:09
2515839;1;3;1;3;50;1;26;Latihan 2 bind;19;1;98;98;2025-09-01 21:03:09;2025-09-01 21:03:09
2515840;1;3;1;3;51;1;26;Latihan 2 bind;19;1;90;90;2025-09-01 21:03:09;2025-09-01 21:03:09
2515841;1;3;1;3;52;1;26;Latihan 2 bind;19;1;48;48;2025-09-01 21:03:09;2025-09-01 21:03:09
2515842;1;3;1;3;53;1;26;Latihan 2 bind;19;1;71;71;2025-09-01 21:03:09;2025-09-01 21:03:09
2515843;1;3;1;3;54;1;26;Latihan 2 bind;19;1;85;85;2025-09-01 21:03:09;2025-09-01 21:03:09
2515844;1;3;1;3;55;1;26;Latihan 2 bind;19;1;97;97;2025-09-01 21:03:09;2025-09-01 21:03:09
2515845;1;3;1;3;56;1;26;Latihan 2 bind;19;1;94;94;2025-09-01 21:03:09;2025-09-01 21:03:09
2515846;1;3;1;3;57;1;26;Latihan 2 bind;19;1;40;40;2025-09-01 21:03:09;2025-09-01 21:03:09
2515847;1;3;1;3;58;1;26;Latihan 2 bind;19;1;92;92;2025-09-01 21:03:09;2025-09-01 21:03:09
2515848;1;3;1;3;59;1;26;Latihan 2 bind;19;1;99;99;2025-09-01 21:03:09;2025-09-01 21:03:09
2515849;1;3;1;3;60;1;26;Latihan 2 bind;19;1;77;77;2025-09-01 21:03:09;2025-09-01 21:03:09
2515850;1;3;1;3;41;1;27;Latihan 3 bind;19;1;57;57;2025-09-01 21:06:14;2025-09-01 21:06:14
2515851;1;3;1;3;42;1;27;Latihan 3 bind;19;1;68;68;2025-09-01 21:06:14;2025-09-01 21:06:14
2515852;1;3;1;3;43;1;27;Latihan 3 bind;19;1;49;49;2025-09-01 21:06:14;2025-09-01 21:06:14
2515853;1;3;1;3;44;1;27;Latihan 3 bind;19;1;92;92;2025-09-01 21:06:14;2025-09-01 21:06:14
2515854;1;3;1;3;45;1;27;Latihan 3 bind;19;1;49;49;2025-09-01 21:06:14;2025-09-01 21:06:14
2515855;1;3;1;3;46;1;27;Latihan 3 bind;19;1;65;65;2025-09-01 21:06:14;2025-09-01 21:06:14
2515856;1;3;1;3;47;1;27;Latihan 3 bind;19;1;92;92;2025-09-01 21:06:14;2025-09-01 21:06:14
2515857;1;3;1;3;48;1;27;Latihan 3 bind;19;1;91;91;2025-09-01 21:06:14;2025-09-01 21:06:14
2515858;1;3;1;3;49;1;27;Latihan 3 bind;19;1;69;69;2025-09-01 21:06:14;2025-09-01 21:06:14
2515859;1;3;1;3;50;1;27;Latihan 3 bind;19;1;93;93;2025-09-01 21:06:14;2025-09-01 21:06:14
2515860;1;3;1;3;51;1;27;Latihan 3 bind;19;1;88;88;2025-09-01 21:06:14;2025-09-01 21:06:14
2515861;1;3;1;3;52;1;27;Latihan 3 bind;19;1;88;88;2025-09-01 21:06:14;2025-09-01 21:06:14
2515862;1;3;1;3;53;1;27;Latihan 3 bind;19;1;85;85;2025-09-01 21:06:14;2025-09-01 21:06:14
2515863;1;3;1;3;54;1;27;Latihan 3 bind;19;1;100;100;2025-09-01 21:06:14;2025-09-01 21:06:14
2515864;1;3;1;3;55;1;27;Latihan 3 bind;19;1;81;81;2025-09-01 21:06:14;2025-09-01 21:06:14
2515865;1;3;1;3;56;1;27;Latihan 3 bind;19;1;89;89;2025-09-01 21:06:14;2025-09-01 21:06:14
2515866;1;3;1;3;57;1;27;Latihan 3 bind;19;1;72;72;2025-09-01 21:06:14;2025-09-01 21:06:14
2515867;1;3;1;3;58;1;27;Latihan 3 bind;19;1;78;78;2025-09-01 21:06:14;2025-09-01 21:06:14
2515868;1;3;1;3;59;1;27;Latihan 3 bind;19;1;46;46;2025-09-01 21:06:14;2025-09-01 21:06:14
2515869;1;3;1;3;60;1;27;Latihan 3 bind;19;1;97;97;2025-09-01 21:06:14;2025-09-01 21:06:14
2515870;1;3;1;3;41;1;28;Latihan 4 bind;19;1;79;79;2025-09-01 21:06:14;2025-09-01 21:06:14
2515871;1;3;1;3;42;1;28;Latihan 4 bind;19;1;75;75;2025-09-01 21:06:14;2025-09-01 21:06:14
2515872;1;3;1;3;43;1;28;Latihan 4 bind;19;1;76;76;2025-09-01 21:06:14;2025-09-01 21:06:14
2515873;1;3;1;3;44;1;28;Latihan 4 bind;19;1;90;90;2025-09-01 21:06:14;2025-09-01 21:06:14
2515874;1;3;1;3;45;1;28;Latihan 4 bind;19;1;74;74;2025-09-01 21:06:14;2025-09-01 21:06:14
2515875;1;3;1;3;46;1;28;Latihan 4 bind;19;1;91;91;2025-09-01 21:06:14;2025-09-01 21:06:14
2515876;1;3;1;3;47;1;28;Latihan 4 bind;19;1;41;41;2025-09-01 21:06:14;2025-09-01 21:06:14
2515877;1;3;1;3;48;1;28;Latihan 4 bind;19;1;90;90;2025-09-01 21:06:14;2025-09-01 21:06:14
2515878;1;3;1;3;49;1;28;Latihan 4 bind;19;1;40;40;2025-09-01 21:06:14;2025-09-01 21:06:14
2515879;1;3;1;3;50;1;28;Latihan 4 bind;19;1;86;86;2025-09-01 21:06:14;2025-09-01 21:06:14
2515880;1;3;1;3;51;1;28;Latihan 4 bind;19;1;72;72;2025-09-01 21:06:14;2025-09-01 21:06:14
2515881;1;3;1;3;52;1;28;Latihan 4 bind;19;1;81;81;2025-09-01 21:06:14;2025-09-01 21:06:14
2515882;1;3;1;3;53;1;28;Latihan 4 bind;19;1;42;42;2025-09-01 21:06:14;2025-09-01 21:06:14
2515883;1;3;1;3;54;1;28;Latihan 4 bind;19;1;43;43;2025-09-01 21:06:15;2025-09-01 21:06:15
2515884;1;3;1;3;55;1;28;Latihan 4 bind;19;1;41;41;2025-09-01 21:06:15;2025-09-01 21:06:15
2515885;1;3;1;3;56;1;28;Latihan 4 bind;19;1;56;56;2025-09-01 21:06:15;2025-09-01 21:06:15
2515886;1;3;1;3;57;1;28;Latihan 4 bind;19;1;91;91;2025-09-01 21:06:15;2025-09-01 21:06:15
2515887;1;3;1;3;58;1;28;Latihan 4 bind;19;1;87;87;2025-09-01 21:06:15;2025-09-01 21:06:15
2515888;1;3;1;3;59;1;28;Latihan 4 bind;19;1;57;57;2025-09-01 21:06:15;2025-09-01 21:06:15
2515889;1;3;1;3;60;1;28;Latihan 4 bind;19;1;69;69;2025-09-01 21:06:15;2025-09-01 21:06:15
2515890;1;3;1;3;41;1;29;Latihan 5 bind;19;1;40;40;2025-09-01 21:06:15;2025-09-01 21:06:15
2515891;1;3;1;3;42;1;29;Latihan 5 bind;19;1;73;73;2025-09-01 21:06:15;2025-09-01 21:06:15
2515892;1;3;1;3;43;1;29;Latihan 5 bind;19;1;88;88;2025-09-01 21:06:15;2025-09-01 21:06:15
2515893;1;3;1;3;44;1;29;Latihan 5 bind;19;1;70;70;2025-09-01 21:06:15;2025-09-01 21:06:15
2515894;1;3;1;3;45;1;29;Latihan 5 bind;19;1;99;99;2025-09-01 21:06:15;2025-09-01 21:06:15
2515895;1;3;1;3;46;1;29;Latihan 5 bind;19;1;52;52;2025-09-01 21:06:15;2025-09-01 21:06:15
2515896;1;3;1;3;47;1;29;Latihan 5 bind;19;1;90;90;2025-09-01 21:06:15;2025-09-01 21:06:15
2515897;1;3;1;3;48;1;29;Latihan 5 bind;19;1;86;86;2025-09-01 21:06:15;2025-09-01 21:06:15
2515898;1;3;1;3;49;1;29;Latihan 5 bind;19;1;74;74;2025-09-01 21:06:15;2025-09-01 21:06:15
2515899;1;3;1;3;50;1;29;Latihan 5 bind;19;1;53;53;2025-09-01 21:06:15;2025-09-01 21:06:15
2515900;1;3;1;3;51;1;29;Latihan 5 bind;19;1;73;73;2025-09-01 21:06:15;2025-09-01 21:06:15
2515901;1;3;1;3;52;1;29;Latihan 5 bind;19;1;48;48;2025-09-01 21:06:15;2025-09-01 21:06:15
2515902;1;3;1;3;53;1;29;Latihan 5 bind;19;1;90;90;2025-09-01 21:06:15;2025-09-01 21:06:15
2515903;1;3;1;3;54;1;29;Latihan 5 bind;19;1;77;77;2025-09-01 21:06:15;2025-09-01 21:06:15
2515904;1;3;1;3;55;1;29;Latihan 5 bind;19;1;78;78;2025-09-01 21:06:15;2025-09-01 21:06:15
2515905;1;3;1;3;56;1;29;Latihan 5 bind;19;1;54;54;2025-09-01 21:06:15;2025-09-01 21:06:15
2515906;1;3;1;3;57;1;29;Latihan 5 bind;19;1;65;65;2025-09-01 21:06:15;2025-09-01 21:06:15
2515907;1;3;1;3;58;1;29;Latihan 5 bind;19;1;90;90;2025-09-01 21:06:15;2025-09-01 21:06:15
2515908;1;3;1;3;59;1;29;Latihan 5 bind;19;1;65;65;2025-09-01 21:06:15;2025-09-01 21:06:15
2515909;1;3;1;3;60;1;29;Latihan 5 bind;19;1;57;57;2025-09-01 21:06:15;2025-09-01 21:06:15
2515910;1;3;1;3;41;1;30;Latihan 6 bind;19;1;73;73;2025-09-01 21:06:15;2025-09-01 21:06:15
2515911;1;3;1;3;42;1;30;Latihan 6 bind;19;1;62;62;2025-09-01 21:06:15;2025-09-01 21:06:15
2515912;1;3;1;3;43;1;30;Latihan 6 bind;19;1;86;86;2025-09-01 21:06:15;2025-09-01 21:06:15
2515913;1;3;1;3;44;1;30;Latihan 6 bind;19;1;95;95;2025-09-01 21:06:15;2025-09-01 21:06:15
2515914;1;3;1;3;45;1;30;Latihan 6 bind;19;1;56;56;2025-09-01 21:06:15;2025-09-01 21:06:15
2515915;1;3;1;3;46;1;30;Latihan 6 bind;19;1;46;46;2025-09-01 21:06:15;2025-09-01 21:06:15
2515916;1;3;1;3;47;1;30;Latihan 6 bind;19;1;94;94;2025-09-01 21:06:15;2025-09-01 21:06:15
2515917;1;3;1;3;48;1;30;Latihan 6 bind;19;1;47;47;2025-09-01 21:06:15;2025-09-01 21:06:15
2515918;1;3;1;3;49;1;30;Latihan 6 bind;19;1;97;97;2025-09-01 21:06:15;2025-09-01 21:06:15
2515919;1;3;1;3;50;1;30;Latihan 6 bind;19;1;81;81;2025-09-01 21:06:15;2025-09-01 21:06:15
2515920;1;3;1;3;51;1;30;Latihan 6 bind;19;1;76;76;2025-09-01 21:06:15;2025-09-01 21:06:15
2515921;1;3;1;3;52;1;30;Latihan 6 bind;19;1;96;96;2025-09-01 21:06:15;2025-09-01 21:06:15
2515922;1;3;1;3;53;1;30;Latihan 6 bind;19;1;51;51;2025-09-01 21:06:15;2025-09-01 21:06:15
2515923;1;3;1;3;54;1;30;Latihan 6 bind;19;1;45;45;2025-09-01 21:06:15;2025-09-01 21:06:15
2515924;1;3;1;3;55;1;30;Latihan 6 bind;19;1;40;40;2025-09-01 21:06:15;2025-09-01 21:06:15
2515925;1;3;1;3;56;1;30;Latihan 6 bind;19;1;60;60;2025-09-01 21:06:15;2025-09-01 21:06:15
2515926;1;3;1;3;57;1;30;Latihan 6 bind;19;1;50;50;2025-09-01 21:06:15;2025-09-01 21:06:15
2515927;1;3;1;3;58;1;30;Latihan 6 bind;19;1;84;84;2025-09-01 21:06:15;2025-09-01 21:06:15
2515928;1;3;1;3;59;1;30;Latihan 6 bind;19;1;68;68;2025-09-01 21:06:15;2025-09-01 21:06:15
2515929;1;3;1;3;60;1;30;Latihan 6 bind;19;1;70;70;2025-09-01 21:06:15;2025-09-01 21:06:15
2515930;1;3;1;3;41;2;25;UTS bind;19;1;89;89;2025-09-01 21:03:09;2025-09-01 21:03:09
2515931;1;3;1;3;42;2;25;UTS bind;19;1;43;43;2025-09-01 21:03:08;2025-09-01 21:03:08
2515932;1;3;1;3;43;2;25;UTS bind;19;1;87;87;2025-09-01 21:03:08;2025-09-01 21:03:08
2515933;1;3;1;3;44;2;25;UTS bind;19;1;55;55;2025-09-01 21:03:09;2025-09-01 21:03:09
2515934;1;3;1;3;45;2;25;UTS bind;19;1;93;93;2025-09-01 21:03:09;2025-09-01 21:03:09
2515935;1;3;1;3;46;2;25;UTS bind;19;1;51;51;2025-09-01 21:03:09;2025-09-01 21:03:09
2515936;1;3;1;3;47;2;25;UTS bind;19;1;84;84;2025-09-01 21:03:09;2025-09-01 21:03:09
2515937;1;3;1;3;48;2;25;UTS bind;19;1;81;81;2025-09-01 21:03:09;2025-09-01 21:03:09
2515938;1;3;1;3;49;2;25;UTS bind;19;1;61;61;2025-09-01 21:03:09;2025-09-01 21:03:09
2515939;1;3;1;3;50;2;25;UTS bind;19;1;82;82;2025-09-01 21:03:09;2025-09-01 21:03:09
2515940;1;3;1;3;51;2;25;UTS bind;19;1;68;68;2025-09-01 21:03:09;2025-09-01 21:03:09
2515941;1;3;1;3;52;2;25;UTS bind;19;1;77;77;2025-09-01 21:03:09;2025-09-01 21:03:09
2515942;1;3;1;3;53;2;25;UTS bind;19;1;91;91;2025-09-01 21:03:09;2025-09-01 21:03:09
2515943;1;3;1;3;54;2;25;UTS bind;19;1;91;91;2025-09-01 21:03:09;2025-09-01 21:03:09
2515944;1;3;1;3;55;2;25;UTS bind;19;1;65;65;2025-09-01 21:03:09;2025-09-01 21:03:09
2515945;1;3;1;3;56;2;25;UTS bind;19;1;84;84;2025-09-01 21:03:09;2025-09-01 21:03:09
2515946;1;3;1;3;57;2;25;UTS bind;19;1;96;96;2025-09-01 21:03:09;2025-09-01 21:03:09
2515947;1;3;1;3;58;2;25;UTS bind;19;1;100;100;2025-09-01 21:03:09;2025-09-01 21:03:09
2515948;1;3;1;3;59;2;25;UTS bind;19;1;42;42;2025-09-01 21:03:09;2025-09-01 21:03:09
2515949;1;3;1;3;60;2;25;UTS bind;19;1;51;51;2025-09-01 21:03:09;2025-09-01 21:03:09
2515950;1;3;1;3;41;2;26;UAS bind;19;1;48;48;2025-09-01 21:03:09;2025-09-01 21:03:09
2515951;1;3;1;3;42;2;26;UAS bind;19;1;66;66;2025-09-01 21:03:09;2025-09-01 21:03:09
2515952;1;3;1;3;43;2;26;UAS bind;19;1;82;82;2025-09-01 21:03:09;2025-09-01 21:03:09
2515953;1;3;1;3;44;2;26;UAS bind;19;1;52;52;2025-09-01 21:03:09;2025-09-01 21:03:09
2515954;1;3;1;3;45;2;26;UAS bind;19;1;69;69;2025-09-01 21:03:09;2025-09-01 21:03:09
2515955;1;3;1;3;46;2;26;UAS bind;19;1;51;51;2025-09-01 21:03:09;2025-09-01 21:03:09
2515956;1;3;1;3;47;2;26;UAS bind;19;1;88;88;2025-09-01 21:03:09;2025-09-01 21:03:09
2515957;1;3;1;3;48;2;26;UAS bind;19;1;81;81;2025-09-01 21:03:09;2025-09-01 21:03:09
2515958;1;3;1;3;49;2;26;UAS bind;19;1;83;83;2025-09-01 21:03:09;2025-09-01 21:03:09
2515959;1;3;1;3;50;2;26;UAS bind;19;1;48;48;2025-09-01 21:03:09;2025-09-01 21:03:09
2515960;1;3;1;3;51;2;26;UAS bind;19;1;88;88;2025-09-01 21:03:09;2025-09-01 21:03:09
2515961;1;3;1;3;52;2;26;UAS bind;19;1;54;54;2025-09-01 21:03:09;2025-09-01 21:03:09
2515962;1;3;1;3;53;2;26;UAS bind;19;1;48;48;2025-09-01 21:03:09;2025-09-01 21:03:09
2515963;1;3;1;3;54;2;26;UAS bind;19;1;63;63;2025-09-01 21:03:09;2025-09-01 21:03:09
2515964;1;3;1;3;55;2;26;UAS bind;19;1;83;83;2025-09-01 21:03:09;2025-09-01 21:03:09
2515965;1;3;1;3;56;2;26;UAS bind;19;1;65;65;2025-09-01 21:03:09;2025-09-01 21:03:09
2515966;1;3;1;3;57;2;26;UAS bind;19;1;47;47;2025-09-01 21:03:09;2025-09-01 21:03:09
2515967;1;3;1;3;58;2;26;UAS bind;19;1;67;67;2025-09-01 21:03:09;2025-09-01 21:03:09
2515968;1;3;1;3;59;2;26;UAS bind;19;1;86;86;2025-09-01 21:03:09;2025-09-01 21:03:09
2515969;1;3;1;3;60;2;26;UAS bind;19;1;50;50;2025-09-01 21:03:09;2025-09-01 21:03:09
2515970;1;3;1;3;41;1;41;Latihan 1 mtk;9;2;75;75;2025-09-01 21:03:09;2025-09-01 21:03:09
2515971;1;3;1;3;42;1;41;Latihan 1 mtk;9;2;84;84;2025-09-01 21:03:08;2025-09-01 21:03:08
2515972;1;3;1;3;43;1;41;Latihan 1 mtk;9;2;80;80;2025-09-01 21:03:08;2025-09-01 21:03:08
2515973;1;3;1;3;44;1;41;Latihan 1 mtk;9;2;76;76;2025-09-01 21:03:09;2025-09-01 21:03:09
2515974;1;3;1;3;45;1;41;Latihan 1 mtk;9;2;79;79;2025-09-01 21:03:09;2025-09-01 21:03:09
2515975;1;3;1;3;46;1;41;Latihan 1 mtk;9;2;79;79;2025-09-01 21:03:09;2025-09-01 21:03:09
2515976;1;3;1;3;47;1;41;Latihan 1 mtk;9;2;52;52;2025-09-01 21:03:09;2025-09-01 21:03:09
2515977;1;3;1;3;48;1;41;Latihan 1 mtk;9;2;87;87;2025-09-01 21:03:09;2025-09-01 21:03:09
2515978;1;3;1;3;49;1;41;Latihan 1 mtk;9;2;50;50;2025-09-01 21:03:09;2025-09-01 21:03:09
2515979;1;3;1;3;50;1;41;Latihan 1 mtk;9;2;59;59;2025-09-01 21:03:09;2025-09-01 21:03:09
2515980;1;3;1;3;51;1;41;Latihan 1 mtk;9;2;70;70;2025-09-01 21:03:09;2025-09-01 21:03:09
2515981;1;3;1;3;52;1;41;Latihan 1 mtk;9;2;93;93;2025-09-01 21:03:09;2025-09-01 21:03:09
2515982;1;3;1;3;53;1;41;Latihan 1 mtk;9;2;40;40;2025-09-01 21:03:09;2025-09-01 21:03:09
2515983;1;3;1;3;54;1;41;Latihan 1 mtk;9;2;80;80;2025-09-01 21:03:09;2025-09-01 21:03:09
2515984;1;3;1;3;55;1;41;Latihan 1 mtk;9;2;53;53;2025-09-01 21:03:09;2025-09-01 21:03:09
2515985;1;3;1;3;56;1;41;Latihan 1 mtk;9;2;93;93;2025-09-01 21:03:09;2025-09-01 21:03:09
2515986;1;3;1;3;57;1;41;Latihan 1 mtk;9;2;94;94;2025-09-01 21:03:09;2025-09-01 21:03:09
2515987;1;3;1;3;58;1;41;Latihan 1 mtk;9;2;98;98;2025-09-01 21:03:09;2025-09-01 21:03:09
2515988;1;3;1;3;59;1;41;Latihan 1 mtk;9;2;67;67;2025-09-01 21:03:09;2025-09-01 21:03:09
2515989;1;3;1;3;60;1;41;Latihan 1 mtk;9;2;84;84;2025-09-01 21:03:09;2025-09-01 21:03:09
2515990;1;3;1;3;41;1;42;Latihan 2 mtk;9;2;54;54;2025-09-01 21:03:09;2025-09-01 21:03:09
2515991;1;3;1;3;42;1;42;Latihan 2 mtk;9;2;87;87;2025-09-01 21:03:09;2025-09-01 21:03:09
2515992;1;3;1;3;43;1;42;Latihan 2 mtk;9;2;59;59;2025-09-01 21:03:09;2025-09-01 21:03:09
2515993;1;3;1;3;44;1;42;Latihan 2 mtk;9;2;74;74;2025-09-01 21:03:09;2025-09-01 21:03:09
2515994;1;3;1;3;45;1;42;Latihan 2 mtk;9;2;45;45;2025-09-01 21:03:09;2025-09-01 21:03:09
2515995;1;3;1;3;46;1;42;Latihan 2 mtk;9;2;71;71;2025-09-01 21:03:09;2025-09-01 21:03:09
2515996;1;3;1;3;47;1;42;Latihan 2 mtk;9;2;80;80;2025-09-01 21:03:09;2025-09-01 21:03:09
2515997;1;3;1;3;48;1;42;Latihan 2 mtk;9;2;77;77;2025-09-01 21:03:09;2025-09-01 21:03:09
2515998;1;3;1;3;49;1;42;Latihan 2 mtk;9;2;58;58;2025-09-01 21:03:09;2025-09-01 21:03:09
2515999;1;3;1;3;50;1;42;Latihan 2 mtk;9;2;45;45;2025-09-01 21:03:09;2025-09-01 21:03:09
2516000;1;3;1;3;51;1;42;Latihan 2 mtk;9;2;92;92;2025-09-01 21:03:09;2025-09-01 21:03:09
2516001;1;3;1;3;52;1;42;Latihan 2 mtk;9;2;63;63;2025-09-01 21:03:09;2025-09-01 21:03:09
2516002;1;3;1;3;53;1;42;Latihan 2 mtk;9;2;64;64;2025-09-01 21:03:09;2025-09-01 21:03:09
2516003;1;3;1;3;54;1;42;Latihan 2 mtk;9;2;71;71;2025-09-01 21:03:09;2025-09-01 21:03:09
2516004;1;3;1;3;55;1;42;Latihan 2 mtk;9;2;58;58;2025-09-01 21:03:09;2025-09-01 21:03:09
2516005;1;3;1;3;56;1;42;Latihan 2 mtk;9;2;61;61;2025-09-01 21:03:09;2025-09-01 21:03:09
2516006;1;3;1;3;57;1;42;Latihan 2 mtk;9;2;82;82;2025-09-01 21:03:09;2025-09-01 21:03:09
2516007;1;3;1;3;58;1;42;Latihan 2 mtk;9;2;81;81;2025-09-01 21:03:09;2025-09-01 21:03:09
2516008;1;3;1;3;59;1;42;Latihan 2 mtk;9;2;97;97;2025-09-01 21:03:09;2025-09-01 21:03:09
2516009;1;3;1;3;60;1;42;Latihan 2 mtk;9;2;87;87;2025-09-01 21:03:09;2025-09-01 21:03:09
2516010;1;3;1;3;41;1;43;Latihan 3 mtk;9;2;62;62;2025-09-01 21:06:14;2025-09-01 21:06:14
2516011;1;3;1;3;42;1;43;Latihan 3 mtk;9;2;86;86;2025-09-01 21:06:14;2025-09-01 21:06:14
2516012;1;3;1;3;43;1;43;Latihan 3 mtk;9;2;83;83;2025-09-01 21:06:14;2025-09-01 21:06:14
2516013;1;3;1;3;44;1;43;Latihan 3 mtk;9;2;76;76;2025-09-01 21:06:14;2025-09-01 21:06:14
2516014;1;3;1;3;45;1;43;Latihan 3 mtk;9;2;88;88;2025-09-01 21:06:14;2025-09-01 21:06:14
2516015;1;3;1;3;46;1;43;Latihan 3 mtk;9;2;55;55;2025-09-01 21:06:14;2025-09-01 21:06:14
2516016;1;3;1;3;47;1;43;Latihan 3 mtk;9;2;60;60;2025-09-01 21:06:14;2025-09-01 21:06:14
2516017;1;3;1;3;48;1;43;Latihan 3 mtk;9;2;86;86;2025-09-01 21:06:14;2025-09-01 21:06:14
2516018;1;3;1;3;49;1;43;Latihan 3 mtk;9;2;93;93;2025-09-01 21:06:14;2025-09-01 21:06:14
2516019;1;3;1;3;50;1;43;Latihan 3 mtk;9;2;82;82;2025-09-01 21:06:14;2025-09-01 21:06:14
2516020;1;3;1;3;51;1;43;Latihan 3 mtk;9;2;79;79;2025-09-01 21:06:14;2025-09-01 21:06:14
2516021;1;3;1;3;52;1;43;Latihan 3 mtk;9;2;100;100;2025-09-01 21:06:14;2025-09-01 21:06:14
2516022;1;3;1;3;53;1;43;Latihan 3 mtk;9;2;56;56;2025-09-01 21:06:14;2025-09-01 21:06:14
2516023;1;3;1;3;54;1;43;Latihan 3 mtk;9;2;77;77;2025-09-01 21:06:14;2025-09-01 21:06:14
2516024;1;3;1;3;55;1;43;Latihan 3 mtk;9;2;53;53;2025-09-01 21:06:14;2025-09-01 21:06:14
2516025;1;3;1;3;56;1;43;Latihan 3 mtk;9;2;48;48;2025-09-01 21:06:14;2025-09-01 21:06:14
2516026;1;3;1;3;57;1;43;Latihan 3 mtk;9;2;51;51;2025-09-01 21:06:14;2025-09-01 21:06:14
2516027;1;3;1;3;58;1;43;Latihan 3 mtk;9;2;63;63;2025-09-01 21:06:14;2025-09-01 21:06:14
2516028;1;3;1;3;59;1;43;Latihan 3 mtk;9;2;97;97;2025-09-01 21:06:14;2025-09-01 21:06:14
2516029;1;3;1;3;60;1;43;Latihan 3 mtk;9;2;53;53;2025-09-01 21:06:14;2025-09-01 21:06:14
2516030;1;3;1;3;41;1;44;Latihan 4 mtk;9;2;67;67;2025-09-01 21:06:14;2025-09-01 21:06:14
2516031;1;3;1;3;42;1;44;Latihan 4 mtk;9;2;45;45;2025-09-01 21:06:14;2025-09-01 21:06:14
